Temperatur; Luftfeuchtigkeit; Luftdruck; TVOC; CO2; UV
-2.71; 37; 51017; 170; 1498; 0

-3.44; 37; 50828; 164; 1478; 0

-2.87; 37; 50656; 174; 1503; 0

-3.67; 38; 50452; 166; 1495; 0

-3.88; 38; 50287; 179; 1512; 0

-3.83; 38; 50149; 183; 1517; 0

-4.05; 39; 49980; 174; 1503; 0

-3.63; 38; 49849; 183; 1517; 0

-4.03; 38; 49688; 179; 1512; 0

-4.83; 39; 49506; 174; 1503; 0

-4.72; 40; 49373; 170; 1498; 0

-3.87; 39; 49238; 179; 1512; 0

-3.01; 38; 49089; 200; 1542; 0

-2.60; 38; 48955; 204; 1546; 0

-2.17; 37; 48821; 197; 1537; 0

-2.57; 37; 48648; 197; 1537; 0

-3.48; 38; 48506; 193; 1531; 0

-4.31; 39; 48372; 204; 1546; 0

-5.36; 40; 48165; 177; 1507; 0

-5.13; 40; 47962; 179; 1512; 0

-5.99; 40; 47771; 166; 1495; 0

-6.54; 40; 47633; 148; 1376; 0

-7.07; 40; 47500; 143; 1341; 0

-7.46; 40; 47360; 142; 1334; 0

-7.22; 40; 47146; 151; 1393; 0

-6.46; 40; 47012; 146; 1360; 0

-5.69; 38; 46860; 154; 1416; 0

-5.18; 37; 46707; 146; 1360; 0

-5.46; 35; 46536; 131; 1266; 0

-6.22; 35; 46376; 125; 1224; 0

-5.76; 35; 46186; 125; 1224; 0

-6.23; 34; 46016; 131; 1266; 0

-6.06; 34; 45848; 131; 1266; 0

-6.27; 34; 45696; 121; 1198; 0

-7.22; 34; 45563; 108; 1113; 0

-7.82; 34; 45434; 110; 1128; 0

-8.13; 34; 45285; 102; 1074; 0

-7.24; 33; 45107; 104; 1086; 0

-7.64; 33; 44957; 96; 1032; 0

-8.04; 32; 44796; 91; 1001; 0

-7.38; 32; 44612; 98; 1044; 0

-8.17; 32; 44468; 96; 1032; 0

-8.48; 32; 44325; 93; 1014; 0

-8.40; 32; 44200; 93; 1014; 0

-8.67; 32; 44069; 91; 1001; 0

-7.81; 31; 43911; 98; 1044; 0

-8.39; 31; 43741; 87; 977; 0

-9.22; 31; 43592; 86; 970; 0

-8.92; 31; 43448; 83; 945; 1

-8.79; 30; 43291; 74; 891; 0

-9.46; 30; 43143; 77; 909; 0

-9.90; 30; 43001; 77; 909; 0

-9.17; 30; 42857; 77; 909; 0

-9.52; 29; 42708; 76; 900; 0

-10.11; 30; 42566; 81; 933; 0

-9.70; 29; 42363; 81; 933; 0

-10.19; 29; 42221; 66; 834; 0

-10.37; 29; 42090; 63; 815; 0

-9.71; 28; 41958; 60; 798; 0

-9.32; 27; 41834; 66; 834; 0

-9.19; 27; 41707; 58; 787; 0

-9.56; 26; 41561; 58; 787; 0

-10.44; 26; 41441; 62; 810; 0

-11.12; 27; 41314; 62; 810; 0

-11.49; 27; 41196; 51; 740; 0

-10.56; 26; 41050; 56; 770; 0

-10.86; 26; 40893; 47; 715; 0

-11.51; 26; 40729; 46; 708; 0

-11.52; 26; 40604; 47; 715; 0

-10.77; 25; 40469; 52; 744; 0

-11.30; 25; 40299; 52; 744; 0

-11.83; 25; 40167; 49; 728; 0

-11.16; 25; 40003; 49; 728; 0

-11.77; 25; 39878; 44; 692; 0

-12.58; 25; 39721; 39; 659; 0

-12.86; 25; 39584; 36; 641; 0

-12.66; 24; 39430; 39; 659; 0

-13.50; 24; 39269; 33; 623; 0

-13.23; 24; 39117; 35; 634; 0

-13.19; 24; 38951; 38; 652; 0

-14.03; 24; 38809; 29; 594; 0

-13.75; 24; 38655; 25; 569; 0

-13.64; 23; 38456; 24; 564; 0

-14.44; 23; 38323; 22; 549; 0

-15.23; 23; 38207; 22; 549; 0

-15.41; 23; 38066; 26; 574; 0

-14.39; 23; 37953; 27; 581; 0

-13.47; 22; 37820; 27; 581; 0

-13.29; 22; 37668; 26; 574; 0

-14.22; 21; 37499; 19; 530; 0

-13.86; 21; 37364; 22; 546; 0

-15.26; 21; 37214; 14; 493; 0

-17.35; 21; 37044; 9; 463; 0

-17.46; 21; 36954; 10; 466; 0

-17.26; 21; 36822; 11; 477; 0

-17.36; 21; 36730; 11; 477; 0

-17.78; 21; 36617; 10; 466; 0

-17.50; 22; 36494; 14; 493; 0

-16.57; 21; 36370; 14; 498; 0

-15.84; 21; 36267; 11; 477; 0

-15.33; 20; 36153; 11; 475; 0

-14.97; 20; 35975; 8; 454; 0

-16.03; 19; 35816; 0; 400; 0

-16.74; 19; 35692; 0; 405; 0

-16.01; 18; 35589; 0; 400; 0

-15.34; 18; 35453; 0; 400; 0

-14.96; 17; 35337; 1; 408; 0

-16.13; 17; 35181; 1; 407; 0

-16.86; 16; 35030; 2; 414; 0

-16.28; 16; 34897; 1; 408; 0

-16.82; 16; 34735; 2; 414; 0

-17.91; 16; 34627; 3; 421; 0

-18.56; 16; 34504; 3; 426; 0

-19.21; 16; 34400; 7; 448; 0

-19.42; 16; 34247; 8; 457; 0

-19.59; 17; 34157; 7; 448; 0

-20.64; 17; 34025; 7; 446; 0

-20.92; 17; 33897; 5; 438; 0

-20.30; 17; 33775; 7; 446; 0

-19.39; 17; 33667; 7; 452; 0

-19.43; 17; 33480; 2; 414; 0

-21.52; 16; 33374; 3; 421; 0

-22.99; 16; 33279; 0; 405; 0

-24.03; 16; 33150; 0; 405; 0

-24.65; 16; 33011; 0; 400; 0

-25.89; 16; 32910; 1; 408; 0

-26.81; 17; 32814; 0; 403; 0

-27.77; 17; 32703; 0; 400; 0

-28.54; 17; 32599; 0; 400; 0

-29.56; 17; 32442; 1; 410; 0

-29.34; 17; 32324; 1; 407; 0

-30.39; 18; 32166; 0; 400; 0

-30.98; 18; 32060; 0; 400; 0

-31.48; 18; 31959; 0; 400; 0

-32.11; 18; 31832; 1; 409; 0

-31.83; 19; 31675; 3; 423; 0

-32.35; 19; 31553; 1; 407; 0

-32.86; 19; 31437; 1; 409; 0

-32.86; 19; 31336; 3; 423; 0

-33.52; 19; 31229; 2; 414; 0

-33.92; 19; 31135; 2; 417; 0

-33.56; 20; 31032; 6; 443; 0

-32.54; 20; 30933; 8; 456; 5

-32.24; 20; 30793; 7; 451; 0

-33.18; 20; 30702; 6; 443; 0

